ID	Protein IDs	Gene Names	ENSEMBL	REFSEQ	Uniprot	VEGA	FPR	Mascot Score	Peptides	Unique Peptides	Assigned Peptides	log2FC count	log2FC median
1981	IPI:IPI00030985.1;IPI:IPI00556162.2;IPI:IPI00790732.1	FAM96A	ENSG00000166797;ENSG00000166797	NP_115607;NP_001014812	Q9H5X1;A6NKS1	OTTHUMP00000163905;OTTHUMP00000176370;OTTHUMP00000176372	5.54E-63	232.32	5	5	5	15	0.38
2929	IPI:IPI00218214.4;IPI:IPI00793737.1	NME6	ENSG00000172113	NP_005784	O75414;Q53HM5	OTTHUMP00000164810;OTTHUMP00000171141;OTTHUMP00000171144	8.74E-18	110.98	4	4	4	3	0.38
3063	IPI:IPI00220342.5	DDAH1;DDAH	ENSG00000153904	NP_036269	O94760;Q5HYC8;Q5VWX2	OTTHUMP00000012304	7.52E-19	145.42	4	4	4	3	0.38
4116	IPI:IPI00418446.4;IPI:IPI00013698.1;IPI:IPI00059685.6	ASAH1;ASAH	ENSG00000104763;ENSG00000104763;ENSG00000104763	NP_004306;NP_808592	Q13510;Q6W898;A8K0B6;Q53H01;Q96AS2	OTTHUMP00000122482;OTTHUMP00000177121;OTTHUMP00000122481;OTTHUMP00000177120;OTTHUMP00000177119	1.87E-15	207.43	7	7	7	3	0.38
4658	IPI:IPI00783665.2;IPI:IPI00014138.1	LAMA5;KIAA0533;KIAA1907	ENSG00000130702	NP_005551	O15230;O75079;Q8TDF8	OTTHUMP00000031475	2.09E-57	336.98	9	9	9	29	0.38
83	IPI:IPI00001564.1	CDKN2C;CDKN6	ENSG00000123080	NP_001253;NP_523240	P42773;Q6ICV4;Q9P1T2	OTTHUMP00000009730;OTTHUMP00000009731	2.41E-27	72.82	2	2	2	6	0.38
1034	IPI:IPI00015178.1;IPI:IPI00028547.2	ARFRP1;ARP1	ENSG00000101246	NP_003215	Q13795	OTTHUMP00000031584	8.34E-11	130.18	3	3	3	3	0.37
1541	IPI:IPI00023137.1;IPI:IPI00477672.2	TOR1B;DQ1;FKSG18	ENSG00000136816	NP_055321	O14657;A6NE08	OTTHUMP00000022350	9.86E-31	217.01	6	6	6	4	0.37
1744	IPI:IPI00026627.4	RP2	ENSG00000102218	NP_008846	O75695	OTTHUMP00000023189	0.00034311	75.91	2	2	2	4	0.37
3036	IPI:IPI00219840.4;IPI:IPI00183781.4			NP_004060;NP_067586	P53680-1;P53680-2	OTTHUMP00000069146;OTTHUMP00000076095;OTTHUMP00000076096	6.37E-25	283.18	5	5	5	9	0.37
330	IPI:IPI00005511.1	PHF5A	ENSG00000100410	NP_116147	Q7RTV0	OTTHUMP00000028653	3.30E-111	287.52	6	6	6	3	0.37
3578	IPI:IPI00303722.5	FAM136A	ENSG00000035141	NP_116211	Q96C01	OTTHUMP00000160074	1.54E-11	118.79	3	3	3	6	0.37
3035	IPI:IPI00219833.2	TIMM17B;TIM17B;JM3	ENSG00000126768	NP_005825	O60830;A8K2E2	OTTHUMP00000032404	2.42E-15	56.69	2	2	2	3	0.36
288	IPI:IPI00004962.2;IPI:IPI00794742.1	GOLIM4;GIMPC;GOLPH4;GPP130	ENSG00000173905	NP_055313	O00461	OTTHUMP00000173492	1.90E-101	266.84	6	6	6	4	0.35
3196	IPI:IPI00290764.5;IPI:IPI00411705.2	C13orf1;hCG_29326		NP_065189	Q5W111-2;Q5W111-1;A8K3G1	OTTHUMP00000018428	1.10E-10	115.9	3	3	3	3	0.35
