ID	Protein IDs	Gene Names	ENSEMBL	REFSEQ	Uniprot	VEGA	FPR	Mascot Score	Peptides	Unique Peptides	Assigned Peptides	log2FC count	log2FC median
2427	IPI:IPI00151462.3;IPI:IPI00220482.8	hCG_1640631;MAP1LC3B;MAP1ALC3	ENSG00000171471;ENSG00000140941	NP_001078950;NP_073729	Q9GZQ8;A6NCE7;Q49A36;Q658J6	OTTHUMP00000081104;OTTHUMP00000175009	4.29E-07	51.69	2	2	2	10	0.31
2585	IPI:IPI00168885.5;IPI:IPI00477424.4;IPI:IPI00749029.1;IPI:IPI00399364.3	DHX57	ENSG00000163214;ENSG00000163214	NP_945314	Q6P158-1;A2RRC7;A6NJA4;Q8N4U2;Q59G60	OTTHUMP00000128298	8.47E-35	374.85	11	9	9	6	0.31
3322	IPI:IPI00294739.1	SAMHD1;MOP5	ENSG00000101347	NP_056289	Q9Y3Z3;Q59H15;Q8N491	OTTHUMP00000030889	8.05E-56	93.67	2	2	2	12	0.31
42	IPI:IPI00000686.2;IPI:IPI00796936.1;IPI:IPI00739227.1	RBM19;KIAA0682	ENSG00000122965	NP_057280	Q9Y4C8;A8K5X9	OTTHUMP00000169372;OTTHUMP00000169374;OTTHUMP00000169375	3.81E-79	239.85	5	1	5	9	0.31
1107	IPI:IPI00016559.6	THG1L;ICF45	ENSG00000113272	NP_060342	Q9NWX6;Q9H8R6	OTTHUMP00000160747	7.94E-06	69.24	3	3	3	4	0.3
3202	IPI:IPI00290952.6;IPI:IPI00032374.3	RRP1B	ENSG00000160208	NP_055871	Q14684-1;Q14684-2;Q6PJM8	OTTHUMP00000109457	2.08E-158	682.04	17	17	17	25	0.3
3359	IPI:IPI00296099.6;IPI:IPI00796249.1	THBS1;TSP;TSP1	ENSG00000137801	NP_003237	P07996;A0PJG0;A8K6H4;Q7KYY3	OTTHUMP00000165029;OTTHUMP00000175561	3.25E-54	453.8	12	12	12	36	0.3
3507	IPI:IPI00300886.5	SLC25A32;MFT;MFTC	ENSG00000164933	NP_110407	Q9H2D1	OTTHUMP00000178185	9.41E-44	93.97	2	2	2	3	0.3
3521	IPI:IPI00647082.1;IPI:IPI00301216.5	TBC1D13	ENSG00000107021;ENSG00000107021	NP_060671	Q9NVG8;A7E2E7;Q59F95;Q5T270;Q5T271	OTTHUMP00000022298;OTTHUMP00000022297	6.46E-26	77.27	3	3	3	4	0.3
3610	IPI:IPI00304895.6	MOCOS	ENSG00000075643	NP_060417	Q96EN8	OTTHUMP00000073423;OTTHUMP00000163413	2.22E-27	158.3	4	4	4	4	0.3
3695	IPI:IPI00328200.3;IPI:IPI00791466.2	QRICH1	ENSG00000198218;ENSG00000198218	NP_060200;NP_942581	Q2TAL8;A1L3Z9;Q9H9Z1;Q9NXG9	OTTHUMP00000171076;OTTHUMP00000171077	1.08E-53	155.31	3	3	3	3	0.3
