ID	Protein IDs	Gene Names	ENSEMBL	REFSEQ	Uniprot	VEGA	FPR	Mascot Score	Peptides	Unique Peptides	Assigned Peptides	log2FC count let7	log2FC count miR1	log2FC count miR155	log2FC count miR16	log2FC count miR30	log2FC median let7	log2FC median miR1	log2FC median miR155	log2FC median miR16	log2FC median miR30
2476	IPI:IPI00394732.4;IPI:IPI00069084.2	TRRAP;TRRAP	ENSP00000347733;ENSP00000352925	NP_003487	Q9Y4A5-2;Q9Y4A5-1;A4D265;Q59FH1	OTTHUMP00000024727	0	1152.36	32	32	32	1	22	2	16	7		-0.02		0.1	-0.2
2477	IPI:IPI00069309.4;IPI:IPI00555865.1	LRWD1;-	ENSP00000292616	NP_690852	Q9UFC0;A8K4K2;Q59FT0		2.59E-06	69.07	2	2	2	0	5	0	9	6		-0.2		-0.03	-0.12
2478	IPI:IPI00069817.2;IPI:IPI00216695.1;IPI:IPI00465231.4	BAZ1B;BAZ1B	ENSP00000342434	NP_115784	Q9UIG0-1;Q9UIG0-2;Q6P1K4;Q86UJ6	OTTHUMP00000160320	0	2863.49	73	73	73	105	124	186	135	105	-0.22	-0.03	0.04	0.17	-0.33
2479	IPI:IPI00873530.2;IPI:IPI00070643.6;IPI:IPI00219265.3;IPI:IPI00844032.1	FAF1;FAF1;FAF1;FAF1	ENSP00000360852;ENSP00000379457;ENSP00000332342;ENSP00000360845;ENSP00000360843	NP_008982	Q9UNN5-1;Q9UNN5-2;A8K9X5;Q5VTA3;Q5VTA2	OTTHUMP00000009649;OTTHUMP00000009651	2.34E-21	293.95	10	10	10	2	0	9	0	4			0.15		0.03
2480	IPI:IPI00070943.3;IPI:IPI00031424.1;IPI:IPI00456476.2;IPI:IPI00873634.1;IPI:IPI00871913.1;IPI:IPI00102940.2	PI4KA;PI4KA	ENSP00000255882;ENSP00000382162	NP_477352;NP_002641	P42356-1;P42356-2;A8MTF1;Q4LE69	OTTHUMP00000028907	1.73E-62	335.09	9	9	9	2	7	5	9	3		-0.18	0.38	0.19	-0.15
2481	IPI:IPI00071180.1;IPI:IPI00099550.1	UBQLN1;UBQLN1	ENSP00000257468;ENSP00000365576	NP_444295;NP_038466	Q9UMX0-2;Q9UMX0-1;Q59FJ2;Q5T6J5;Q5T6J9	OTTHUMP00000021545;OTTHUMP00000021544	1.50E-178	345.14	8	3	5	8	5	12	6	3	0.05	0.09	-0.66	-0.01	0.06
2482	IPI:IPI00215999.1;IPI:IPI00071185.1;IPI:IPI00376979.1;IPI:IPI00376983.1;IPI:IPI00071189.3;IPI:IPI00871359.1;IPI:IPI00395687.3;IPI:IPI00736011.3;IPI:IPI00759690.1;IPI:IPI00376980.1;IPI:IPI00337617.1;IPI:IPI00071188.1;IPI:IPI00641338.1;IPI:IPI00829719.1;IPI:IPI00099746.4;IPI:IPI00070809.2;IPI:IPI00219508.2;IPI:IPI00334381.2;IPI:IPI00642438.1;IPI:IPI00816795.1;IPI:IPI00847441.1;IPI:IPI00024414.1;IPI:IPI00294006.2;IPI:IPI00843864.2;IPI:IPI00024413.2;IPI:IPI00654724.1	CDC2L1;CDC2L1;CDC2L1;CDC2L1;CDC2L1;CDC2L1;CDC2L1;CDC2L1;CDC2L1;CDC2L1;CDC2L1;CDC2L1;CDC2L2;CDC2L2;CDC2L2;CDC2L2;CDC2L2;CDC2L2;CDC2L2;CDC2L2;CDC2L2;CDC2L2;CDC2L2	ENSP00000341389;ENSP00000345856;ENSP00000349411;ENSP00000367902;ENSP00000350403;ENSP00000344418;ENSP00000383875;ENSP00000367900;ENSP00000348529;ENSP00000367896;ENSP00000367905	NP_277021;NP_277027;NP_277028;NP_277023;NP_277022;NP_277024;NP_277071;NP_076916	P21127-1;P21127-2;P21127-3;P21127-8;P21127-6;P21127-10;P21127-12;P21127-4;P21127-5;P21127-9;Q9UQ88-1;Q9UQ88-2;Q9UQ88-3;Q9UQ88-4;Q9UQ88-10;Q9UQ88-5;Q9UQ88-9;Q6PK02;A4VCI5;Q6P5Y5;Q05C84;Q5QPR3;Q4VBY6;Q5QPR4;Q96CA8;Q2TAJ0	OTTHUMP00000000763;OTTHUMP00000000762;OTTHUMP00000000760;OTTHUMP00000000764;OTTHUMP00000000767;OTTHUMP00000000768	1.59E-151	821.51	19	18	19	40	17	39	33	26	0.06	-0.11	0.06	0.01	0.04
2483	IPI:IPI00410026.1;IPI:IPI00071318.1;IPI:IPI00410027.1;IPI:IPI00853373.1;IPI:IPI00793246.1;IPI:IPI00798019.1	LUC7L;LUC7L;LUC7L;LUC7L;LUC7L;LUC7L	ENSP00000337507;ENSP00000380885;ENSP00000293872;ENSP00000380882	NP_060502;NP_958815	Q9NQ29-2;Q9NQ29-1;Q9NQ29-3;Q1W6G4;Q53G47;A8MYV2	OTTHUMP00000067165;OTTHUMP00000067166;OTTHUMP00000081093;OTTHUMP00000081094;OTTHUMP00000067167;OTTHUMP00000081092;OTTHUMP00000081095;OTTHUMP00000194916;OTTHUMP00000081096;OTTHUMP00000081097	2.68E-37	389.74	10	4	4	10	1	1	11	0	-0.08			-0.4	
2485	IPI:IPI00071509.1;IPI:IPI00218528.1;IPI:IPI00736792.1	PKP1;PKP1;LOC652798	ENSP00000263946;ENSP00000295597;ENSP00000356293	NP_000290;NP_001005337;XP_947552	Q13835-1;Q13835-2;Q14BN3;Q14CA0	OTTHUMP00000033849;OTTHUMP00000033848	1.52E-106	494.9	10	10	10	0	0	0	0	0					
2487	IPI:IPI00071697.1;IPI:IPI00216406.3;IPI:IPI00216407.1;IPI:IPI00644539.1;IPI:IPI00513906.2;IPI:IPI00645066.1;IPI:IPI00646320.1;IPI:IPI00745424.2;IPI:IPI00514289.2;IPI:IPI00513987.1	"NFYC;Nuclear transcription factor Y, gamma variant;NFYC;NFYC;NFYC;NFYC;NFYC"	ENSP00000312617;ENSP00000361741;ENSP00000361734;ENSP00000361738;ENSP00000361739;ENSP00000361754;ENSP00000361736;ENSP00000380406;ENSP00000361737	NP_055038	Q13952-1;Q13952-2;Q13952-3;Q8TCN9;Q59GY4;Q14497;Q5T6K7;Q5T6K5;Q5T6K6;Q5T6K9	OTTHUMP00000009213;OTTHUMP00000009207;OTTHUMP00000009208;OTTHUMP00000009211;OTTHUMP00000009212;OTTHUMP00000009210;OTTHUMP00000009214;OTTHUMP00000009216;OTTHUMP00000009215;OTTHUMP00000009209	1.44E-29	138.34	3	3	3	2	0	3	1	0			-0.45		
