ID	Protein IDs	Gene Names	ENSEMBL	REFSEQ	Uniprot	VEGA	FPR	Mascot Score	Peptides	Unique Peptides	Assigned Peptides	log2FC count let7	log2FC count miR1	log2FC count miR155	log2FC count miR16	log2FC count miR30	log2FC median let7	log2FC median miR1	log2FC median miR155	log2FC median miR16	log2FC median miR30
19	IPI:IPI00000001.2;IPI:IPI00218609.2;IPI:IPI00643664.1;IPI:IPI00641873.1;IPI:IPI00645009.1	STAU1;STAU1;STAU1;STAU1;STAU1	ENSP00000360922;ENSP00000379466;ENSP00000323443;ENSP00000353604;ENSP00000360870;ENSP00000345425;ENSP00000360867;ENSP00000360893;ENSP00000360857	NP_059347;NP_004593;NP_059346;NP_059348;NP_001032405	O95793-1;O95793-2;A8K622;Q59F99;A8K9Z4;Q5JW29;Q5JW30;Q5JW28;Q6PJX3	OTTHUMP00000031233;OTTHUMP00000031234;OTTHUMP00000031235;OTTHUMP00000031236;OTTHUMP00000031238;OTTHUMP00000031239;OTTHUMP00000031237	1.15E-44	280.7	6	5	6	0	0	0	3	0				-0.51	
20	IPI:IPI00000005.1;IPI:IPI00796085.1;IPI:IPI00815701.1	NRAS	ENSP00000358548	NP_002515	P01111;Q5U091	OTTHUMP00000013879	0	611.86	12	2	12	17	28	21	44	39	-0.23	0.02	0.14	0.34	0.03
21	IPI:IPI00000015.2	SFRS4	ENSP00000362900	NP_005617	Q08170;A8K644;Q53F45;Q59EF5	OTTHUMP00000003790	3.99E-111	560.5	10	5	5	19	10	16	20	14	0.02	-0.37	-0.02	-0.15	-0.13
22	IPI:IPI00000030.1;IPI:IPI00219543.1;IPI:IPI00219544.1	PPP2R5D;PPP2R5D;PPP2R5D	ENSP00000230402;ENSP00000377669	NP_006236;NP_851307;NP_851308	Q14738-1;Q14738-2;Q14738-3;A8K6Y2;Q59EF0;Q5TC39;A8K3I9	OTTHUMP00000016416	4.91E-47	395.77	10	6	10	11	0	9	9	1	0.24		0.03	-0.03	
23	IPI:IPI00000041.1	RHOB	ENSP00000272233	NP_004031	P62745	OTTHUMP00000115947	0	416.54	8	6	6	3	11	6	10	7	-0.48	0.44	-0.07	0.59	-0.31
24	IPI:IPI00000051.4	PFDN1	ENSP00000261813	NP_002613	O60925	OTTHUMP00000159560	6.77E-30	334.06	7	7	7	5	7	3	6	10	-0.06	-0.44	0.09	0.12	0.09
25	IPI:IPI00000057.1;IPI:IPI00643424.1	COG2;COG2	ENSP00000355629;ENSP00000355628	NP_031383	Q14746;Q5T8Y1;Q86U99	OTTHUMP00000035875;OTTHUMP00000035876	1.09E-17	91.26	2	2	2	0	0	3	0	0			-0.38		
27	IPI:IPI00000070.1;IPI:IPI00792252.1	LDLR;LDLR	ENSP00000252444	NP_000518	P01130;Q59FQ1;Q9UH51;Q6LCH2;Q6RCM4	OTTHUMP00000066976;OTTHUMP00000077177;OTTHUMP00000164996	2.18E-172	502.15	10	10	10	4	36	14	2	13	-0.31	0.61	0.36		-0.3
28	IPI:IPI00000105.4	MVP	ENSP00000349977;ENSP00000378760	NP_005106;NP_059447	Q14764	OTTHUMP00000045913;OTTHUMP00000081249;OTTHUMP00000081250	0	1350.34	33	33	33	2	20	11	3	10		0.34	0.1	0.13	-0.17
30	IPI:IPI00000138.1;IPI:IPI00179044.2	MGAT1	ENSP00000311888;ENSP00000332073;ENSP00000377010	NP_002397	P26572;A8K404;Q59G70;Q6IBE3	OTTHUMP00000161546	6.64E-08	122.53	3	3	3	0	1	4	1	0			-0.08		
31	IPI:IPI00000155.6;IPI:IPI00647648.2;IPI:IPI00647134.2;IPI:IPI00644210.2	N-PAC;N-PAC;N-PAC;N-PAC	ENSP00000322716;ENSP00000371413	NP_115958	Q49A26-1;Q49A26-2;Q49A26-3;Q49A26-4	OTTHUMP00000081258;OTTHUMP00000159924;OTTHUMP00000081260;OTTHUMP00000081259;OTTHUMP00000081261	0	668.42	11	11	11	8	5	12	19	5	0	0.28	0.38	0.37	0.34
32	IPI:IPI00000162.5;IPI:IPI00410360.3;IPI:IPI00871314.1	NGDN;NGDN;NGDN	ENSP00000380344;ENSP00000380340;ENSP00000250392	NP_001036100;NP_056329	Q8NEJ9-1;Q8NEJ9-2;A8K760;A8MT00	OTTHUMP00000027950;OTTHUMP00000066747	5.20E-220	368.2	8	8	8	8	6	5	6	6	-0.15	0.1	-0.14	-0.02	-0.06
33	IPI:IPI00000163.6;IPI:IPI00179328.3;IPI:IPI00549924.1;IPI:IPI00643624.1	CTNNAL1;CTNNAL1;CTNNAL1	ENSP00000323351;ENSP00000363722;ENSP00000320434;ENSP00000363723	NP_003789	Q9UBT7-3;Q9UBT7-1;Q9UBT7-2;Q5JTQ9	OTTHUMP00000021874;OTTHUMP00000021872;OTTHUMP00000021873	2.77E-08	69.06	3	3	3	0	0	0	0	0					
34	IPI:IPI00101258.1;IPI:IPI00000181.2	MRPS24;MRPS24	ENSP00000318158;ENSP00000083014	NP_114403	Q96EL2;A4D1U9;A6NI76	OTTHUMP00000024793;OTTHUMP00000159213	2.55E-32	190.46	4	4	4	3	6	7	0	13	-0.43	0.14	-0.12		-0.03
35	IPI:IPI00657752.1;IPI:IPI00000190.1;IPI:IPI00555750.1	CD81;CD81	ENSP00000370424;ENSP00000263645	NP_004347	P60033;A6NMH8	OTTHUMP00000011529;OTTHUMP00000011528	5.96E-236	235.81	4	4	4	2	14	3	20	19		0.05	-0.22	0.16	0.04
36	IPI:IPI00479433.2;IPI:IPI00000279.2	ZC3H15;ZC3H15	ENSP00000354104;ENSP00000338788	NP_060941	Q5QTQ4;Q9NZ37;Q8WU90;Q8WZ06;Q9NUZ3;Q9P079		1.62E-204	536.8	10	10	10	25	5	26	24	19	-0.03	0.05	-0.05	-0.08	-0.19
37	IPI:IPI00000296.2;IPI:IPI00844425.1;IPI:IPI00816044.1	C3orf10;C3orf10;-	ENSP00000256463	NP_060932	Q8WUW1-1;Q8WUW1-2	OTTHUMP00000170190	6.27E-62	339.05	8	8	8	2	8	1	4	13		-0.05		0.07	0.05
38	IPI:IPI00000305.3;IPI:IPI00792270.1	MED11;MED11	ENSP00000293777	NP_001001683	Q9P086	OTTHUMP00000182718;OTTHUMP00000182717	7.75E-10	91.47	2	2	2	1	3	0	0	0		0.08			
39	IPI:IPI00000330.5;IPI:IPI00829819.1;IPI:IPI00844563.1	C9orf80;C9orf80;C9orf80	ENSP00000363360;ENSP00000277239	NP_067041	Q9NRY2-1;Q9NRY2-2	OTTHUMP00000021940	2.12E-18	93.78	2	2	2	0	0	0	0	0					
40	IPI:IPI00000335.1	HINT2	ENSP00000259667	NP_115982	Q9BX68;Q53HJ8;Q5TCW3;Q8WYJ5	OTTHUMP00000021363	0	434.94	8	8	8	8	51	22	17	39	0.29	-0.35	0.01	0.24	0.07
41	IPI:IPI00000398.2;IPI:IPI00020484.4;IPI:IPI00789679.1;IPI:IPI00855788.1;IPI:IPI00793551.1	NUSAP1;NUSAP1;NUSAP1;NUSAP1;NUSAP1	ENSP00000260359	NP_060924;NP_057443	Q9BXS6-1;Q9BXS6-2;Q9BXS6-3;Q9BXS6-4;Q9BXS6-5;A8K4B4	OTTHUMP00000175657;OTTHUMP00000175659;OTTHUMP00000175658;OTTHUMP00000175660	2.68E-15	91.03	2	2	2	0	0	0	0	1					
42	IPI:IPI00000425.1;IPI:IPI00152221.2;IPI:IPI00795987.1	ATP6V0A2	ENSP00000332247	NP_036595	Q9Y487;A8K026;Q6NUM0	OTTHUMP00000169729	2.95E-35	231.03	8	8	8	1	1	4	3	0			-0.01	0.5	
43	IPI:IPI00000494.6;IPI:IPI00739106.2	RPL5	ENSP00000359345	NP_000960	P46777;A2RUM7;Q32LZ3;Q59GX9;Q8WYP1;Q9BUV4	OTTHUMP00000012584	0	1318.03	27	21	27	125	178	87	201	141	-0.08	0.02	-0.07	-0.28	-0.01
44	IPI:IPI00513945.2;IPI:IPI00000579.2	C6orf129;C6orf129	ENSP00000362504;ENSP00000362507	NP_612502	Q9P0B6;Q5T7F6	OTTHUMP00000016330;OTTHUMP00000016329	5.53E-48	119.53	2	2	2	2	4	3	3	6		0.22	0.28	-0.17	-0.02
45	IPI:IPI00000606.5;IPI:IPI00514593.1	TTC4;TTC4	ENSP00000360332;ENSP00000360329	NP_004614	O95801;Q53Y95;Q5TA96;Q5TA95	OTTHUMP00000011556;OTTHUMP00000011557	1.26E-18	181.01	5	5	5	0	0	0	2	0					
47	IPI:IPI00000643.1;IPI:IPI00657974.1	BAG2	ENSP00000359727	NP_004273	O95816	OTTHUMP00000016668	0	929.14	17	17	17	47	38	46	40	50	0.14	0.35	-0.04	0.33	0.24
48	IPI:IPI00000656.2;IPI:IPI00843937.1;IPI:IPI00790071.1	KIAA0892	ENSP00000262816;ENSP00000376127	NP_056144	Q9Y6X3-1;Q9Y4B3	OTTHUMP00000077059;OTTHUMP00000196563	1.98E-23	270.34	8	8	8	7	3	8	3	3	-0.09	0.08	-0.07	0.24	-0.11
49	IPI:IPI00000684.4;IPI:IPI00217816.3;IPI:IPI00607787.1;IPI:IPI00646967.1	UAP1;UAP1;UAP1	ENSP00000271469;ENSP00000356902;ENSP00000356903;ENSP00000356901	NP_003106	Q16222-1;Q16222-2;Q16222-3	OTTHUMP00000032326;OTTHUMP00000032325;OTTHUMP00000032327	0	485.25	9	9	9	5	5	6	5	4	0.18	0.11	-0.54	0.59	-0.47
50	IPI:IPI00000685.1	CDK7	ENSP00000256443	NP_001790	P50613	OTTHUMP00000125195	1.01E-79	245.67	6	6	6	6	0	6	2	1	-0.02		-0.12		
51	IPI:IPI00000686.2;IPI:IPI00739227.1;IPI:IPI00789814.1;IPI:IPI00796936.1	RBM19	ENSP00000261741;ENSP00000376344	NP_057280	Q9Y4C8;A8K5X9	OTTHUMP00000169372;OTTHUMP00000169374;OTTHUMP00000169375	2.20E-153	387.08	11	3	11	6	8	13	10	7	-0.46	0.04	-0.12	-0.11	-0.11
52	IPI:IPI00000690.1;IPI:IPI00157908.4;IPI:IPI00300018.1	AIFM1;AIFM1;AIFM1	ENSP00000287295;ENSP00000315122;ENSP00000316320	NP_004199;NP_665811;NP_665812	O95831-1;O95831-3;O95831-2;A4QPB4;Q1L6K6;Q1L6K4;Q5RZ99;Q5RZA0;Q2QKE4;Q5JUZ8	OTTHUMP00000024007;OTTHUMP00000024008;OTTHUMP00000024009	0	1811.08	32	32	32	70	75	88	109	138	-0.1	0.13	-0.21	0.1	-0.08
53	IPI:IPI00000691.1;IPI:IPI00789066.1	CLDN1;CLDN1	ENSP00000295522	NP_066924	O95832;A5JSJ9;Q7Z4X9	OTTHUMP00000174016;OTTHUMP00000174017	1.01E-127	189.68	4	4	4	3	9	5	9	12	0.05	0.12	-0.97	0.1	0.07
54	IPI:IPI00000692.2;IPI:IPI00644062.1	CLIC3;CLIC3	ENSP00000360678	NP_004660	O95833;Q5SPZ7;Q6FGP1;Q5SQ17	OTTHUMP00000022630;OTTHUMP00000022631;OTTHUMP00000022632	1.41E-132	281.45	6	6	6	0	0	0	0	0					
55	IPI:IPI00000728.3;IPI:IPI00219504.1;IPI:IPI00219505.1;IPI:IPI00165116.2;IPI:IPI00796350.1;IPI:IPI00789575.1	USP15;USP15;USP15	ENSP00000280377;ENSP00000258123;ENSP00000377264	NP_006304	Q9Y4E8-1;Q9Y4E8-2;Q9Y4E8-3;Q08AL5;Q2NL66	OTTHUMP00000168317;OTTHUMP00000168316	5.50E-97	453.04	13	12	13	3	0	1	0	2	-0.34				
56	IPI:IPI00000733.4	UTP18	ENSP00000225298	NP_057085	Q9Y5J1	OTTHUMP00000183314	0	680.07	17	17	17	27	16	33	25	20	0	-0.05	-0.02	-0.07	-0.03
57	IPI:IPI00000760.1;IPI:IPI00646524.2;IPI:IPI00797462.1;IPI:IPI00645821.2;IPI:IPI00647695.2;IPI:IPI00513826.1	"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2;DDAH2;DDAH2;DDAH2;DDAH2"	ENSP00000229707;ENSP00000364943;ENSP00000364945;ENSP00000364949;ENSP00000372901;ENSP00000382907;ENSP00000382911;ENSP00000382935;ENSP00000382936	NP_039268	O95865;A2BEZ7;A3KGN5;Q5SRR8;Q5SSV3;A2ABS5	OTTHUMP00000014675;OTTHUMP00000014676;OTTHU;OTTHUMP00000014678;OTTHUMP00000174416;OTTHUMP00000174488;OTTHUMP00000195747;OTTHUMP00000029310;OTTHUMP00000195748;OTTHUMP00000014680;OTTHUMP00000174489;OTTHUMP00000195749	9.72E-54	143.65	5	4	4	0	0	0	0	0					
58	IPI:IPI00000769.2;IPI:IPI00385166.1;IPI:IPI00453005.1	KIF22	ENSP00000160827	NP_015556	Q14807;O60846;Q14984;Q14985;Q53F58	OTTHUMP00000080912;OTTHUMP00000123406	5.61E-158	440.8	10	10	10	3	5	9	4	2	0.29	-0.1	-0.21	-0.03	
59	IPI:IPI00000783.1;IPI:IPI00215824.1;IPI:IPI00640155.1;IPI:IPI00552984.1	PSMB8;PSMB8;PSMB8;PSMB8	ENSP00000364015;ENSP00000372598;ENSP00000372725;ENSP00000364016;ENSP00000372597;ENSP00000372723;ENSP00000378748;ENSP00000382317;ENSP00000382538	NP_004150;NP_683720	P28062-1;P28062-2;Q5JNW6;Q6FHU0;Q5QNR8;Q5JNW7	OTTHUMP00000014891;OTTHUMP00000029421;OTTHUMP00000029853;OTTHUMP00000014892;OTTHUMP00000029420;OTTHUMP00000029854;OTTHUMP00000178621;OTTHUMP00000195551;OTTHUMP00000195773	6.00E-76	341.6	7	7	7	2	2	0	2	4					0.33
60	IPI:IPI00000792.1;IPI:IPI00647366.1;IPI:IPI00641565.1;IPI:IPI00642016.1;IPI:IPI00874075.1;IPI:IPI00645425.1	CRYZ;CRYZ;CRYZ;CRYZ	ENSP00000339399;ENSP00000359908;ENSP00000359907	NP_001880	Q08257;A6NN60;A6NP24	OTTHUMP00000011194;OTTHUMP00000011213;OTTHUMP00000011211;OTTHUMP00000011212	2.60E-223	743.48	18	18	18	32	26	33	20	35	0.2	-0.18	0.25	-0.04	-0.15
61	IPI:IPI00000811.2;IPI:IPI00789119.1;IPI:IPI00796198.1	PSMB6;PSMB6;PSMB6	ENSP00000270586	NP_002789	P28072;Q6IAT9	OTTHUMP00000115982;OTTHUMP00000182726;OTTHUMP00000182724;OTTHUMP00000182725	2.58E-166	548.35	10	10	10	5	7	11	12	19	0.27	-0.05	0.14	0.13	0.08
62	IPI:IPI00000816.1;IPI:IPI00793344.1;IPI:IPI00792761.1;IPI:IPI00795516.1;IPI:IPI00873157.1	YWHAE;YWHAE;YWHAE	ENSP00000264335	NP_006752	P62258;Q4VJB6;Q53XZ5	OTTHUMP00000166035;OTTHUMP00000182972;OTTHUMP00000182974;OTTHUMP00000182975	0	2034.94	30	21	30	118	128	58	129	151	0.1	0.03	-0.04	0.04	-0.36
63	IPI:IPI00000821.2	MRPL16	ENSP00000300151	NP_060310	Q9NX20		7.68E-82	378.32	8	8	8	19	17	16	24	15	-0.04	0.03	-0.2	0.07	-0.01
64	IPI:IPI00000846.1;IPI:IPI00455210.1;IPI:IPI00789340.1	CHD4;CHD4	ENSP00000349508;ENSP00000312419	NP_001264	Q14839-1;Q14839-2;Q05CG6	OTTHUMP00000166343;OTTHUMP00000166342	0	3315.68	78	56	78	125	181	241	146	135	-0.2	-0.08	0.03	0.1	0.02
65	IPI:IPI00383500.2;IPI:IPI00000856.7	PLEKHC1;PLEKHC1	ENSP00000342858;ENSP00000340391;ENSP00000378993	NP_006823	Q96AC1-2;Q96AC1-1;A8K6S3	OTTHUMP00000028333;OTTHUMP00000179004;OTTHUMP00000179005	0	1342.39	28	27	28	12	18	21	6	15	0.23	-0.68	0.01	0.55	-0.14
66	IPI:IPI00000861.1;IPI:IPI00386803.4;IPI:IPI00015157.1	LASP1;LASP1	ENSP00000325240	NP_006139	Q14847-1;Q14847-2;A8K1D2	OTTHUMP00000164238;OTTHUMP00000181138;OTTHUMP00000164239	6.81E-164	524.95	11	10	11	3	3	3	1	3	-0.08	1.31	0.28		0.19
67	IPI:IPI00000873.3;IPI:IPI00646425.2;IPI:IPI00788898.1;IPI:IPI00793323.1	VARS	ENSP00000211402;ENSP00000364815	NP_006286	P26640;A2BEY0	OTTHUMP00000029422;OTTHUMP00000029855	0	2711.16	57	57	57	79	56	98	81	79	-0.01	-0.19	-0.04	0.04	-0.12
68	IPI:IPI00000874.1;IPI:IPI00640741.1;IPI:IPI00641244.1	PRDX1;PRDX1	ENSP00000262746;ENSP00000361152	NP_002565;NP_859047;NP_859048	Q06830	OTTHUMP00000009234;OTTHUMP00000009235;OTTHUMP00000009237	0	1384.09	25	21	25	155	166	133	205	182	0.08	0.12	-0.02	0.22	0.01
69	IPI:IPI00000875.6;IPI:IPI00747497.1;IPI:IPI00738381.2;IPI:IPI00744181.2	EEF1G;EEF1G;LOC729998;EEF1G	ENSP00000331901;ENSP00000367258	NP_001395;XP_001129635;XP_001129726;XP_001132953	P26641;Q2F838;Q2F840;Q53YD7		0	1869.84	33	33	33	101	170	102	219	217	-0.15	0.01	-0.08	-0.46	0.03
70	IPI:IPI00000877.1;IPI:IPI00010369.1	HYOU1	ENSP00000278752	NP_006380	Q9Y4L1;A8C1Z0;Q05D91;Q68D25;Q6IN67;Q9BST8		0	2937.48	51	51	51	116	338	180	181	372	0.15	0.11	-0.03	0	0.13
71	IPI:IPI00000897.1	HELZ	ENSP00000351524	NP_055692	P42694;A1L4L4;Q504Q7;Q6PGP6	OTTHUMP00000182231	4.23E-12	145.2	7	7	7	0	3	0	2	0		0.03			
72	IPI:IPI00000948.3	TBL2	ENSP00000307260	NP_036585	Q9Y4P3;Q8N2L6;Q96E41	OTTHUMP00000160428	0	1082.8	21	21	21	36	30	53	40	47	-0.08	0.02	-0.12	0.03	-0.03
73	IPI:IPI00000980.1	TOMM7	ENSP00000351214;ENSP00000379805	NP_061932	Q9P0U1;Q75MR5	OTTHUMP00000025198;OTTHUMP00000120038	5.09E-31	261.13	7	7	7	3	10	0	3	11	-0.07	0.1		0.02	0.03
74	IPI:IPI00001022.5;IPI:IPI00328714.2;IPI:IPI00382557.1	PNKD;PNKD;PNKD	ENSP00000248451;ENSP00000273077	NP_001070867;NP_056303	Q8N490-2;Q8N490-1;A8K1F2;Q96P23	OTTHUMP00000164142	1.29E-63	201.1	4	4	4	2	3	2	0	1		0.18			
75	IPI:IPI00260838.1;IPI:IPI00010788.1;IPI:IPI00001077.3;IPI:IPI00737452.2;IPI:IPI00307621.1;IPI:IPI00786878.1	KRTAP4-7;KRTAP4-12;KRTAP4-6;KRTAP4-8;KRTAP4-5;KRTAP4-8	ENSP00000375075;ENSP00000375236;ENSP00000375437;ENSP00000377582;ENSP00000328270;ENSP00000375435;ENSP00000340546	NP_149050;NP_114060;XP_001130340;XP_932588;NP_149445;XP_001130332	Q9BYR0;Q9BQ66;Q9BYQ5;Q9BYQ9;Q9BYR2;A6NFX6;A8MQ08;A8MTL4	OTTHUMP00000164949;OTTHUMP00000183321;OTTHUMP00000165001;OTTHUMP00000181333;OTTHUMP00000165002;OTTHUMP00000165004	2.16E-09	94.53	2	2	2	0	4	0	0	0		-0.17			
76	IPI:IPI00001091.4	AFG3L2	ENSP00000269143	NP_006787	Q9Y4W6;Q8TA92	OTTHUMP00000071704;OTTHUMP00000162476	0	1769.31	40	39	40	63	58	86	76	60	-0.04	0.05	0.04	-0.26	-0.11
77	IPI:IPI00556348.1;IPI:IPI00747510.1;IPI:IPI00001134.3	RBM7;RBM7;RBM7	ENSP00000265882;ENSP00000364639	NP_057174	Q9Y580;Q59EQ8;Q6IRX3		1.18E-14	105.55	5	5	5	4	0	0	2	1	0.16				
78	IPI:IPI00001141.4	TIMM22	ENSP00000320236	NP_037469	Q9Y584	OTTHUMP00000180689	1.27E-47	116.12	2	2	2	3	3	3	2	3	-0.1	0	-0.1		-0.19
80	IPI:IPI00001146.1	LSM6	ENSP00000296581	NP_009011	P62312;Q4W5J5		2.95E-31	360.84	8	8	8	4	13	0	6	18	-0.25	-0.06		0.38	0.24
81	IPI:IPI00001159.10;IPI:IPI00788818.1;IPI:IPI00789420.1	GCN1L1	ENSP00000300648	NP_006827	Q92616;A8KAY1	OTTHUMP00000169516	0	6931.87	143	143	143	230	189	281	284	208	-0.11	0.02	-0.03	0.04	-0.02
82	IPI:IPI00001287.1;IPI:IPI00514321.1;IPI:IPI00514791.1	C20orf72;C20orf72;C20orf72	ENSP00000366939;ENSP00000366938;ENSP00000366933	NP_443097	Q9BQP7;Q5QPE8;Q5QPE7	OTTHUMP00000030341;OTTHUMP00000030342;OTTHUMP00000030343	2.59E-55	241.76	6	6	6	4	2	7	4	2	-0.47		-0.04	0.1	
83	IPI:IPI00001364.2;IPI:IPI00807487.1;IPI:IPI00069267.2;IPI:IPI00797180.3;IPI:IPI00219169.1	C21orf66;-;C21orf66	ENSP00000328992;ENSP00000290178	NP_057715;NP_037461	Q9Y5B6-1;Q9Y5B6-2;Q8N2J1;Q9NZD7;Q05D88	OTTHUMP00000067485;OTTHUMP00000067489	3.02E-131	542.58	13	13	13	6	9	10	3	4	-0.09	-0.34	-0.42	0.21	0.01
84	IPI:IPI00001437.3	RND3	ENSP00000263895;ENSP00000364886	NP_005159	P61587;Q4ZFY0;Q53RZ3;Q6FGN7;Q6FGR9	OTTHUMP00000162684;OTTHUMP00000162685	1.50E-09	120.91	4	4	4	0	0	0	0	3					-0.3
85	IPI:IPI00001453.2;IPI:IPI00868727.1;IPI:IPI00237671.9;IPI:IPI00744385.2;IPI:IPI00165284.4;IPI:IPI00853283.1	INA	ENSP00000358865	NP_116116	Q16352;Q59EM6;Q5SYD2	OTTHUMP00000020403	5.40E-34	452.1	12	8	10	0	3	5	1	7		0.35	-0.39		0.15
86	IPI:IPI00001458.1;IPI:IPI00795872.1	KNTC1	ENSP00000328236	NP_055523	P50748;A7E2C4	OTTHUMP00000169629	1.19E-06	101.64	5	5	5	0	0	1	1	1					
87	IPI:IPI00001538.3	FXC1	ENSP00000254616	NP_036324	Q9Y5J6	OTTHUMP00000164584	3.88E-27	267.31	8	8	8	1	4	0	10	7		-0.03		-0.45	-0.03
88	IPI:IPI00873829.1;IPI:IPI00001539.8;IPI:IPI00736858.2	ACAA2;ACAA2	ENSP00000381557;ENSP00000285093	NP_006102	P42765;A8MVT9	OTTHUMP00000073215;OTTHUMP00000163502	0	1351.95	25	25	25	76	71	87	98	95	0.17	0	0.02	-0.09	-0.09
89	IPI:IPI00001541.1	TIMM9	ENSP00000216463;ENSP00000378588	NP_036592	Q9Y5J7	OTTHUMP00000179028	6.23E-50	305.71	7	7	7	11	31	5	8	25	-0.22	0.27	-0.04	-0.07	-0.23
90	IPI:IPI00001543.1	TIMM10	ENSP00000257245	NP_036588	P62072;A8K136		1.03E-45	322.6	8	8	8	5	13	7	6	15	0.12	0.22	-0.03	-0.08	-0.25
91	IPI:IPI00001546.1	TIMM8B	ENSP00000280354	NP_036591	Q9Y5J9		1.31E-163	410.13	7	7	7	7	15	1	6	18	-0.06	0.05		-0.04	-0.01
92	IPI:IPI00001560.2;IPI:IPI00001563.1;IPI:IPI00030733.3	CDKN2A	ENSP00000307101	NP_000068	P42771-1;A5X2G7;A7LNE7	OTTHUMP00000021147	1.49E-289	513.08	10	3	10	15	32	15	30	36	-0.17	0.19	-0.21	-0.24	-0.08
93	IPI:IPI00001564.1	CDKN2C	ENSP00000262662;ENSP00000360826;ENSP00000379452	NP_001253;NP_523240	P42773;Q6ICV4;Q9P1T2	OTTHUMP00000009730;OTTHUMP00000009731	1.13E-08	135.51	3	3	3	0	0	0	0	0					
94	IPI:IPI00001568.1;IPI:IPI00385952.3	ATP6V1D	ENSP00000216442	NP_057078	Q9Y5K8;Q6PJ05;Q8N5Z9;Q9H3H0	OTTHUMP00000028402	1.29E-283	328.12	6	6	6	1	1	1	3	1				0.06	
95	IPI:IPI00001578.2;IPI:IPI00792773.1;IPI:IPI00795592.1	C17orf62;C17orf62;C17orf62	ENSP00000307765	NP_001028218;NP_001093877;NP_001093878	Q9BQA9	OTTHUMP00000180816;OTTHUMP00000180817;OTTHUMP00000180823;OTTHUMP00000180820;OTTHUMP00000180819;OTTHUMP00000180822	1.33E-06	72.94	3	3	3	0	0	0	0	0					
96	IPI:IPI00001589.1;IPI:IPI00867580.1	TIMM13;-	ENSP00000215570	NP_036590	Q9Y5L4	OTTHUMP00000066498;OTTHUMP00000078157	0	398.73	6	6	6	11	21	3	13	36	-0.05	0.06	-0.22	-0.33	-0.1
97	IPI:IPI00001592.1;IPI:IPI00470529.3	GPNMB;GPNMB	ENSP00000258733;ENSP00000371420	NP_002501;NP_001005340	Q14956-2;Q14956-1;A4D155;A8K7R3	OTTHUMP00000024429;OTTHUMP00000122417	2.01E-09	85.85	2	2	2	0	2	0	0	2					
98	IPI:IPI00399307.2;IPI:IPI00001593.1	PRCP;PRCP	ENSP00000377055;ENSP00000317362	NP_955450;NP_005031	P42785;A8MU24		2.39E-10	97.18	4	4	4	0	0	0	0	1					
99	IPI:IPI00001632.4;IPI:IPI00872465.1;IPI:IPI00641889.1	KIAA1522;KIAA1522	ENSP00000362580;ENSP00000383851;ENSP00000294521;ENSP00000362579	NP_065939	Q9P206	OTTHUMP00000037516;OTTHUMP00000009761	4.51E-18	146.25	4	4	4	0	4	0	1	4		-0.26			-0.15
100	IPI:IPI00001636.1;IPI:IPI00874107.1;IPI:IPI00385153.1	ATXN10;ATXN10;ATXN10	ENSP00000252934;ENSP00000379332;ENSP00000370449	NP_037368	Q9UBB4;Q9NTC6;A6NLC4;Q7Z524	OTTHUMP00000028591	0	1182	24	24	24	28	8	31	18	4	-0.03	0.2	-0.67	0.36	-0.29
101	IPI:IPI00001639.2	KPNB1	ENSP00000290158	NP_002256	Q14974;Q53XN2	OTTHUMP00000035030;OTTHUMP00000181581	0	2892.95	44	44	44	164	209	140	259	204	-0.01	-0.1	0.04	-0.1	0.04
103	IPI:IPI00001649.2	DNAJC15	ENSP00000368523	NP_037370	Q9Y5T4	OTTHUMP00000018329	1.14E-45	330.74	8	8	8	2	15	6	8	12		-0.08	-0.1	-0.3	-0.01
104	IPI:IPI00795923.1;IPI:IPI00006213.2;IPI:IPI00001654.4;IPI:IPI00168179.5	PCM1;PCM1;PCM1	ENSP00000327077;ENSP00000315008	NP_006188	Q15154-2;Q15154-1;Q15154-3;A2RUU9	OTTHUMP00000096525;OTTHUMP00000177086;OTTHUMP00000177084	2.01E-25	255.07	8	8	8	3	11	6	3	2	0.63	0.22	0.01	0.03	
105	IPI:IPI00001655.1	C16orf80	ENSP00000262498	NP_037374	Q9Y6A4	OTTHUMP00000080712;OTTHUMP00000164726	8.40E-141	320.2	7	7	7	6	6	11	12	16	-0.04	0.33	0.07	0.08	0.01
106	IPI:IPI00747309.1;IPI:IPI00001661.3;IPI:IPI00787306.1	Regulator of chromosome condensation;RCC1;RCC1	ENSP00000362938;ENSP00000362939;ENSP00000362940;ENSP00000381931;ENSP00000362937;ENSP00000381934	NP_001041662;NP_001041663;NP_001041664;NP_001260;NP_001041659;NP_001041660	P18754;Q5T081;Q16269;Q6NT97	OTTHUMP00000003775;OTTHUMP00000003776;OTTHUMP00000003777	0	1016.73	18	18	18	71	27	69	54	48	-0.08	-0.01	-0.04	0.06	0.03
